22.217 0.971 29.0 1000 51.781 0.742 258.0 1000
n21 n0 790 3064 13
n0 n21 1048 133 13
n0 n4 244 2976 15
n4 n0 1708 0 15
n4 n25 0 0 1
n25 n4 0 0 1
n21 n16 680 1853 15
n16 n21 1328 1926 15
n16 n8 472 2262 11
n8 n16 1020 671 11
n8 n18 118 1127 8
n18 n8 662 308 8
n16 n1 818 1265 10
n1 n16 700 1628 10
n0 n2 868 2159 11
n2 n0 482 339 11
n1 n20 682 197 8
n20 n1 238 1490 8
n21 n10 1488 70 15
n10 n21 186 2511 15
n4 n7 114 3537 22
n7 n4 2272 0 22
n16 n17 406 423 5
n17 n16 168 664 5
n1 n27 230 1549 12
n27 n1 1136 1080 12
n20 n15 572 200 11
n15 n20 636 2105 11
n2 n6 1016 35 10
n6 n2 88 1668 10
n2 n13 732 1200 8
n13 n2 194 546 8
n20 n9 590 1345 10
n9 n20 454 580 10
n4 n28 0 0 1
n28 n4 0 0 1
n28 n26 0 0 1
n26 n28 0 0 1
n8 n3 848 513 9
n3 n8 330 1692 9
n27 n12 170 1261 10
n12 n27 1034 1027 10
n27 n19 326 789 7
n19 n27 460 626 7
n7 n5 1258 251 13
n5 n7 374 2511 13
n12 n14 144 1297 8
n14 n12 732 176 8
n19 n29 0 0 1
n29 n19 0 0 1
n7 n22 0 0 1
n22 n7 0 0 1
n20 n23 0 0 1
n23 n20 0 0 1
n13 n24 0 0 1
n24 n13 0 0 1
n3 n11 1540 49 20
n11 n3 208 2678 20
