254.098 0.029 29.0 1000 594.65 0.319 319.0 1000
n11 n17 5658 16306 14
n17 n11 10180 13589 14
n11 n10 10726 2467 11
n10 n11 3164 22148 11
n11 n22 4656 19561 13
n22 n11 8308 5175 13
n22 n18 4532 15344 15
n18 n22 10120 11935 15
n10 n19 4440 9001 6
n19 n10 1452 2152 6
n22 n6 9326 12445 13
n6 n22 3306 11083 13
n6 n4 3204 14409 10
n4 n6 9868 9853 10
n18 n12 6242 4620 10
n12 n18 5818 17313 10
n6 n28 10450 236 12
n28 n6 3372 21316 12
n17 n5 4030 40969 23
n5 n17 22016 3876 23
n6 n20 3714 17460 9
n20 n6 7346 429 9
n10 n21 7078 20433 10
n21 n10 4344 1865 10
n10 n0 27756 1474 29
n0 n10 3070 47547 29
n11 n1 7442 2937 9
n1 n11 1380 12543 9
n0 n16 4056 14402 7
n16 n0 4352 811 7
n6 n29 3254 5001 7
n29 n6 2488 5222 7
n19 n23 4028 10091 9
n23 n19 3692 3346 9
n12 n13 10354 656 12
n13 n12 2526 19098 12
n6 n15 9802 2933 11
n15 n6 680 15672 11
n0 n25 3244 3642 7
n25 n0 3568 8504 7
n22 n2 1776 11119 7
n2 n22 5676 1581 7
n0 n14 11196 889 14
n14 n0 1762 19610 14
n21 n26 3342 18103 11
n26 n21 7714 0 11
n6 n3 4050 6973 8
n3 n6 2892 5555 8
n21 n9 4732 7002 5
n9 n21 792 2316 5
n4 n8 8150 11363 11
n8 n4 4368 11213 11
n10 n27 2090 4209 6
n27 n10 5524 8489 6
n5 n7 3772 18542 10
n7 n5 7964 1382 10
n13 n24 1054 12256 10
n24 n13 8656 6184 10
